 2761.6 12.2489  0.3339  8.9927
 2762.2 11.9368  0.3186 10.7421
 2762.9 12.0142  0.3266 10.7801
 2763.5 12.5634  0.3259 11.1975
 2764.2 12.4229  0.3171 11.0970
 2764.8 11.8648  0.3089 10.7094
 2765.5 11.9007  0.3047 10.6902
 2766.1 11.9286  0.3036 10.6816
 2766.8 11.9703  0.3048 10.7700
 2767.4 12.3445  0.3069 11.0721
 2768.0 12.0750  0.3060 10.8947
 2768.7 10.4084  0.2270 10.9227
 2769.3 11.4892  0.2677 10.5103
 2770.0 11.3061  0.2540 11.1349
 2770.6 11.3824  0.2509 11.2773
 2771.3 11.4858  0.2483 11.2909
 2771.9 11.7695  0.2479 10.5864
 2772.6 11.2347  0.2348 10.8724
 2773.2 10.7352  0.2308 10.5438
 2773.8 10.9617  0.2299 10.7778
 2774.5 11.0181  0.2305 10.9436
 2775.1 11.1183  0.2311 10.9745
 2775.8 11.4072  0.2344 11.0602
 2776.4 11.2558  0.2190 11.0826
 2777.1 11.6698  0.2278 11.5359
 2777.7 11.9653  0.2306 11.7963
 2778.4 11.8064  0.2295 11.6988
 2779.0 11.4207  0.2277 11.4290
 2779.6 11.7899  0.2299 11.7255
 2780.3 12.3974  0.2330 12.2137
 2780.9 12.2385  0.2322 12.0768
 2781.6 12.2719  0.2317 12.0654
 2782.2 12.2957  0.2331 12.1377
 2782.9 12.3591  0.2346 12.2723
 2783.5 12.4958  0.2355 12.3865
 2784.2 12.9826  0.2376 12.7690
 2784.8 12.9874  0.2373 12.7775
 2785.5 12.6020  0.1575 12.7878
 2786.1 12.8005  0.1627 12.9887
 2786.8 13.2097  0.1650 13.5051
 2787.4 13.1556  0.1470 10.1997
 2788.1 12.9671  0.1437 13.2440
 2788.7 13.1487  0.1437 13.2733
 2789.4 12.9813  0.1429 13.5070
 2790.0 12.9980  0.1424 13.6442
 2790.7 13.3294  0.1439 13.9125
 2791.3 13.6198  0.1455 14.3585
 2792.0 13.4862  0.1452 14.1339
 2792.6 13.6044  0.1455 14.7482
 2793.3 13.9154  0.1469 14.7276
 2793.9 13.8597  0.1463 14.7217
 2794.6 13.9444  0.1460 14.9388
 2795.2 14.1843  0.1464 15.3760
 2795.9 14.2445  0.1460 15.6180
 2796.5 14.0186  0.1445 15.4940
 2797.2 14.0074  0.1437 15.3415
 2797.8 14.0384  0.1433 15.5136
 2798.5 13.8849  0.1421 15.5586
 2799.1 13.9421  0.1430 15.6723
 2799.8 13.9205  0.1431 15.5027
 2800.4 13.7897  0.1415 14.9851
 2801.1 13.8876  0.1421 15.1349
 2801.7 13.8046  0.1417 15.5004
 2802.4 13.7734  0.1413 15.3292
 2803.0 13.7742  0.1416 15.1502
 2803.7 13.9376  0.1423 15.3083
 2804.3 13.8368  0.1418 15.1325
 2805.0 13.4162  0.1399 14.8137
 2805.6 13.3874  0.1394 14.6186
 2806.3 13.3249  0.1393 14.4792
 2806.9 13.2590  0.1390 14.2726
 2807.6 13.1685  0.1382 14.0962
 2808.2 13.0310  0.1369 13.9515
 2808.9 12.8579  0.1357 13.5790
 2809.6 12.7268  0.1348 13.1752
 2810.2 12.8112  0.1368 12.9328
 2810.9 12.8548  0.1397 12.9738
 2811.5 12.6251  0.1370 12.7868
 2812.2 12.4478  0.1327 12.5266
 2812.8 12.4437  0.1334 12.5562
 2813.5 12.5636  0.1343 12.7968
 2814.1 12.4985  0.1337 12.4254
 2814.8 12.2928  0.1322 12.1432
 2815.4 12.0999  0.1310 11.9770
 2816.1 11.9456  0.1311 11.6458
 2816.8 12.1000  0.1312 11.6360
 2817.4 12.0628  0.1305 11.5593
 2818.1 12.0748  0.1299 11.7493
 2818.7 12.0799  0.1294 11.7260
 2819.4 11.9020  0.1285 11.3663
 2820.0 11.9964  0.1291 11.4720
 2820.7 11.9360  0.1288 11.3798
 2821.3 11.7197  0.1289 11.1367
 2822.0 11.7780  0.1298 11.3484
 2822.6 11.8133  0.1291 11.2784
 2823.3 11.8037  0.1284 11.0242
 2824.0 11.7417  0.1281 10.9811
 2824.6 11.7559  0.1276 11.0365
 2825.3 11.7729  0.1270 11.0815
 2825.9 11.6843  0.1262 11.2229
 2826.6 11.6314  0.1258 11.1695
 2827.2 11.7906  0.1265 11.1620
 2827.9 11.9016  0.1266 11.3494
 2828.6 11.7557  0.1258 11.3874
 2829.2 11.6950  0.1266 11.2995
 2829.9 11.6859  0.1269 11.1775
 2830.5 11.5277  0.1247 10.9158
 2831.2 11.3893  0.1234 10.6528
 2831.9 11.5434  0.1234 10.9855
 2832.5 11.6375  0.1235 11.1488
 2833.2 11.5111  0.1226 10.9288
 2833.8 11.4508  0.1223 10.8026
 2834.5 11.3917  0.1227 10.6046
 2835.1 11.6119  0.1242 11.0144
 2835.8 11.4818  0.1240 10.8676
 2836.5 11.4994  0.1230 10.4568
 2837.1 11.3648  0.1211 11.1373
 2837.8 11.4004  0.1207 11.2656
 2838.4 11.3948  0.1206 11.3045
 2839.1 11.1856  0.1198 10.8146
 2839.8 11.3634  0.1203 11.0852
 2840.4 11.6298  0.1037 10.8384
 2841.1 11.2274  0.1130 10.8816
 2841.8 11.2871  0.1131 11.0635
 2842.4 11.2140  0.1120 10.7244
 2843.1 11.2681  0.1118 10.7922
 2843.7 11.2821  0.1116 10.9700
 2844.4 11.1949  0.1111 10.8841
 2845.1 11.1929  0.1116 10.8444
 2845.7 11.2507  0.1118 10.9711
 2846.4 11.2014  0.1124 10.7526
 2847.1 11.1416  0.1111 10.6861
 2847.7 11.0559  0.1105 10.7043
 2848.4 11.1030  0.1104 10.7482
 2849.0 10.9997  0.1100 10.6914
 2849.7 10.9522  0.1096 10.6212
 2850.4 10.9181  0.1095 10.5074
 2851.0 10.9007  0.1111 10.4274
 2851.7 11.0183  0.1116 10.6103
 2852.4 10.8867  0.1083 10.6055
 2853.0 10.8247  0.1079 10.5583
 2853.7 10.9427  0.1088 10.5977
 2854.3 10.8860  0.1081 10.6218
 2855.0 10.5733  0.1064 10.3871
 2855.7 10.6405  0.1058 10.3399
 2856.3 10.5567  0.1053 10.2993
 2857.0 10.7697  0.1062 10.4824
 2857.7 10.6802  0.1056 10.2473
 2858.3 10.5626  0.1048 10.2247
 2859.0 10.5589  0.1045 10.2306
 2859.7 10.4512  0.1039 10.0796
 2860.3 10.3831  0.1035 10.0007
 2861.0 10.4702  0.1035 10.1246
 2861.6 10.5103  0.1034 10.2323
 2862.3 10.3459  0.1025 10.0700
 2863.0 10.2407  0.1021  9.9133
 2863.6 10.4515  0.1028 10.1027
 2864.3 10.5165  0.1030 10.2239
 2865.0 10.4219  0.1022 10.1407
 2865.6 10.2598  0.1009  9.9905
 2866.3 10.1669  0.1007  9.8206
 2867.0 10.2527  0.1007 10.0379
 2867.6 10.0139  0.0994  9.8585
 2868.3  9.7987  0.0983  6.7038
 2869.0  9.8762  0.0986 10.0310
 2869.6 10.1249  0.0992 10.2172
 2870.3 10.2252  0.0998 10.2050
 2871.0 10.1896  0.0996 10.1424
 2871.7 10.2915  0.1001 10.2341
 2872.3 10.2708  0.0999 10.2885
 2873.0 10.0869  0.0993 10.1204
 2873.7 10.1377  0.0995 10.0375
 2874.3 10.3394  0.1001 10.2750
 2875.0 10.2464  0.0996 10.1885
 2875.7 10.1659  0.0991  9.9915
 2876.3 10.0836  0.0986  9.9379
 2877.0 10.0997  0.0984 10.1798
 2877.7 10.0415  0.0980  9.9800
 2878.3  9.9322  0.0973  9.8623
 2879.0  9.9472  0.0976  9.8829
 2879.7  9.9460  0.0974  9.7747
