# WAVE	 FLUX_LAMBDA	 SIGMA	 FLUXRQ_LAMBDA	 SIGMARQ
   583.351      2.382      0.577      2.405                0.602
   589.540      2.247      0.548      2.302                0.580
   595.729      2.326      0.542      2.345                0.576
   601.919      2.297      0.533      2.248                0.551
   608.108      2.234      0.518      2.205                0.548
   614.297      2.092      0.492      2.107                0.522
   620.486      2.081      0.472      2.049                0.492
   626.675      2.090      0.474      2.044                0.495
   632.865      2.037      0.462      1.996                0.477
   639.054      1.945      0.444      1.911                0.467
   645.243      1.937      0.428      1.916                0.448
   651.432      1.908      0.418      1.888                0.442
   657.621      1.872      0.402      1.864                0.423
   663.811      1.866      0.388      1.871                0.413
   670.000      1.867      0.388      1.893                0.413
   676.189      1.850      0.379      1.890                0.405
   682.378      1.848      0.373      1.857                0.394
   688.567      1.814      0.363      1.831                0.384
   694.757      1.814      0.354      1.847                0.375
   700.946      1.811      0.340      1.866                0.370
   707.135      1.774      0.334      1.825                0.361
   713.324      1.685      0.313      1.700                0.332
   719.513      1.664      0.305      1.684                0.323
   725.703      1.626      0.293      1.653                0.311
   731.892      1.634      0.289      1.667                0.307
   738.081      1.643      0.284      1.689                0.302
   744.270      1.692      0.292      1.722                0.312
   750.459      1.737      0.294      1.787                0.317
   756.649      1.791      0.296      1.839                0.321
   762.838      1.882      0.304      1.914                0.326
   769.027      1.915      0.305      1.939                0.324
   775.216      1.906      0.301      1.896                0.320
   781.405      1.951      0.301      1.923                0.316
   787.595      1.919      0.288      1.897                0.304
   793.784      1.843      0.266      1.808                0.278
   799.973      1.785      0.249      1.735                0.255
   806.162      1.835      0.242      1.784                0.249
   812.351      1.883      0.235      1.820                0.237
   818.541      1.926      0.232      1.874                0.236
   824.730      1.919      0.222      1.844                0.227
   830.919      1.968      0.218      1.899                0.227
   837.108      1.966      0.208      1.886                0.215
   843.297      1.877      0.194      1.792                0.201
   849.487      1.887      0.185      1.763                0.191
   855.676      1.831      0.172      1.692                0.178
   861.865      1.794      0.159      1.620                0.162
   868.054      1.785      0.145      1.619                0.151
   874.243      1.807      0.132      1.652                0.137
   880.433      1.820      0.121      1.680                0.126
   886.622      1.808      0.105      1.708                0.114
   892.811      1.823      0.091      1.752                0.102
   899.000      1.834      0.076      1.786                0.085
   905.189      1.849      0.061      1.810                0.063
   911.379      1.838      0.052      1.803                0.053
   917.568      1.845      0.047      1.817                0.047
   923.757      1.839      0.045      1.824                0.045
   929.946      1.846      0.045      1.831                0.044
   936.135      1.874      0.045      1.864                0.043
   942.325      1.852      0.045      1.847                0.041
   948.514      1.835      0.041      1.828                0.038
   954.703      1.811      0.036      1.790                0.031
   960.892      1.830      0.034      1.798                0.030
   967.081      1.860      0.035      1.828                0.033
   973.271      1.880      0.035      1.851                0.035
   979.460      1.905      0.040      1.903                0.042
   985.649      1.886      0.035      1.880                0.037
   991.838      1.860      0.034      1.850                0.035
   998.027      1.839      0.030      1.836                0.031
  1004.217      1.834      0.034      1.820                0.035
  1010.406      1.854      0.037      1.835                0.038
  1016.595      1.948      0.040      1.929                0.041
  1022.784      2.073      0.044      2.051                0.047
  1028.973      2.160      0.057      2.124                0.065
  1035.163      2.091      0.043      2.061                0.045
  1041.352      1.951      0.036      1.949                0.039
  1047.541      1.800      0.030      1.802                0.031
  1053.730      1.721      0.024      1.720                0.022
  1059.919      1.712      0.024      1.704                0.024
  1066.109      1.716      0.025      1.697                0.026
  1072.298      1.694      0.025      1.678                0.026
  1078.487      1.672      0.024      1.671                0.025
  1084.676      1.595      0.024      1.599                0.023
  1090.865      1.590      0.027      1.594                0.024
  1097.055      1.539      0.026      1.531                0.025
  1103.244      1.548      0.026      1.522                0.025
  1109.433      1.578      0.025      1.560                0.024
  1115.622      1.604      0.026      1.596                0.027
  1121.811      1.626      0.025      1.615                0.025
  1128.001      1.617      0.026      1.608                0.027
  1134.190      1.590      0.025      1.576                0.026
  1140.379      1.584      0.023      1.565                0.023
  1146.568      1.564      0.024      1.548                0.024
  1152.757      1.569      0.027      1.556                0.029
  1158.947      1.598      0.032      1.571                0.033
  1165.136      1.662      0.031      1.648                0.034
  1171.325      1.767      0.030      1.756                0.033
  1177.514      1.892      0.034      1.883                0.036
  1183.703      2.035      0.041      2.015                0.041
  1189.893      2.259      0.053      2.225                0.051
  1196.082      2.632      0.079      2.551                0.070
  1202.271      3.103      0.115      2.951                0.090
  1208.460      3.589      0.170      3.325                0.117
  1214.649      3.805      0.184      3.550                0.130
  1220.839      3.562      0.122      3.481                0.110
  1227.028      3.138      0.084      3.172                0.091
  1233.217      2.787      0.067      2.849                0.073
  1239.406      2.495      0.052      2.541                0.057
  1245.595      2.189      0.039      2.219                0.043
  1251.785      1.919      0.031      1.941                0.035
  1257.974      1.718      0.023      1.726                0.025
  1264.163      1.570      0.018      1.569                0.022
  1270.352      1.461      0.015      1.457                0.017
  1276.541      1.366      0.014      1.353                0.016
  1282.731      1.319      0.013      1.308                0.013
  1288.920      1.299      0.013      1.283                0.014
  1295.109      1.301      0.012      1.280                0.013
  1301.298      1.316      0.013      1.293                0.012
  1307.487      1.302      0.012      1.290                0.013
  1313.677      1.271      0.012      1.259                0.012
  1319.866      1.237      0.009      1.233                0.010
