# wl wmean ewmean
1.000130352228522383e+03 4.589568984505224769e+00 2.498991684569159766e+00
1.000530352228522361e+03 4.843135758767571630e+00 2.511640800496183434e+00
1.000930352228522338e+03 5.051573870820545764e+00 2.421325826703743189e+00
1.001330352228522315e+03 5.219482454019638062e+00 2.396125741506461182e+00
1.001730352228522293e+03 5.351460109159903666e+00 2.388872644174497850e+00
1.002130352228522270e+03 5.452104908815083029e+00 2.332299877053887638e+00
1.002530352228522247e+03 5.525899906065491862e+00 2.313143743739388469e+00
1.002930352228522224e+03 5.577601546091199403e+00 2.233266226629352591e+00
1.003330352228522202e+03 5.611807748202937596e+00 2.254625514780118856e+00
1.003730352228522179e+03 5.633114494663949756e+00 2.184706923962731917e+00
1.004130352228522156e+03 5.646117251482773547e+00 2.079076379675592445e+00
1.004530352228522133e+03 5.655414902509769526e+00 2.085898763854084237e+00
1.004930352228522111e+03 5.665643874798569790e+00 2.073953433406473756e+00
1.005330352228522088e+03 5.681398470824471580e+00 1.961364180487372266e+00
1.005730352228522065e+03 5.707272084408629986e+00 2.040996148782258768e+00
1.006130352228522042e+03 5.746349703355027039e+00 1.958933663719483409e+00
1.006530352228522020e+03 5.792998656761216836e+00 1.983213424083977161e+00
1.006930352228521997e+03 5.838302438544744177e+00 1.934516628233395652e+00
1.007330352228521974e+03 5.873418227933131952e+00 1.848638561995381568e+00
1.007730352228521951e+03 5.889505408857637292e+00 1.872652641375920801e+00
1.008130352228521929e+03 5.877724373974085204e+00 1.872518780843438035e+00
1.008530352228521906e+03 5.829010512243566922e+00 1.913868206900923408e+00
1.008930352228521883e+03 5.736388719866735819e+00 1.874482455422359140e+00
1.009330352228521861e+03 5.609417058270011580e+00 1.911029097577266800e+00
1.009730352228521838e+03 5.467247705134916202e+00 1.879114225271790062e+00
1.010130352228521815e+03 5.329162044652345998e+00 1.962339873460458906e+00
1.010530352228521792e+03 5.214645049241227959e+00 1.894646048950630490e+00
1.010930352228521770e+03 5.138644949316007349e+00 1.774457964081783024e+00
